Activity,Activity,type,isIndexed,uniqueConstraint,existenceConstraint
Activity,planned_Costs,STRING,false,false,false
Activity,Actual_duration,STRING,false,false,false
Activity,output_type,STRING,false,false,false
Activity,Start_Date_Planned,STRING,false,false,false
Activity,No_Child_Activity,STRING,false,false,false
Activity,name,STRING,false,false,false
Activity,description,STRING,false,false,false
Activity,Actual_start_delay,STRING,false,false,false
Activity,Id,STRING,false,false,false
Activity,status,STRING,false,false,false
Activity,Planned_Duration,STRING,false,false,false
Service,name,STRING,false,false,false
Project,Updated_Date,INTEGER,false,false,false
Project,name,STRING,false,false,false
Project,Planned_Cost,FLOAT,false,false,false
Project,Project_delay,INTEGER,false,false,false
Project,Start_days_after_2000,INTEGER,false,false,false
Project,Cost_Variance,FLOAT,false,false,false
Project,Id,STRING,true,false,false
Project,Planned_Duration,INTEGER,false,false,false
Metric,Metric_results,STRING,false,false,false
Metric,ID,STRING,true,false,false
Metric,Description,STRING,false,false,false
Metric,Measurement_category,STRING,false,false,false
Supplier,name,STRING,false,false,false
Supplier,ID,STRING,false,false,false
Business_Area,name,STRING,false,false,false
Contract,Contract_size,STRING,false,false,false
Contract,Description,STRING,false,false,false
Contract,ID,STRING,false,false,false
Business_Function,name,STRING,false,false,false
Investment,Investment_type,STRING,false,false,false
Investment,Changes_to_Baseline,STRING,false,false,false
Investment,Identifier,STRING,true,false,false
Investment,name,STRING,false,false,false
Investment,Last_Baseline,STRING,false,false,false
Investment,Performance_Gap,STRING,false,false,false
Investment,Summary,STRING,false,false,false
Investment,Business_Case,STRING,false,false,false
Investment,Enhancement_spend_$m,FLOAT,false,false,false
Investment,Evaluation_by_CIO,STRING,false,false,false
Bureau,Code,STRING,false,false,false
Bureau,Name,STRING,false,false,false